Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.474       |
|    learning_rate        | 0.0003      |
|    loss                 | 225         |
|    n_updates            | 10580       |
|    policy_gradient_loss | 0.00183     |
|    value_loss           | 518         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64          |
|    ep_rew_mean          | 43.2        |
| time/                   |             |
|    fps                  | 511         |
|    iterations           | 10          |
|    time_elapsed         | 40          |
|    total_timesteps      | 2170880     |
| train/                  |             |
|    approx_kl            | 0.030711787 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.556       |
|    learning_rate        | 0.0003      |
|    loss                 | 188         |
|    n_updates            | 10590       |
|    policy_gradient_loss | -0.00332    |
|    value_loss           | 514         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65          |
|    ep_rew_mean          | 54.5        |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 11          |
|    time_elapsed         | 44          |
|    total_timesteps      | 2172928     |
| train/                  |             |
|    approx_kl            | 0.023820747 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.514       |
|    learning_rate        | 0.0003      |
|    loss                 | 180         |
|    n_updates            | 10600       |
|    policy_gradient_loss | -0.000876   |
|    value_loss           | 517         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.5        |
|    ep_rew_mean          | 58.8        |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 12          |
|    time_elapsed         | 48          |
|    total_timesteps      | 2174976     |
| train/                  |             |
|    approx_kl            | 0.014153378 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.541       |
|    learning_rate        | 0.0003      |
|    loss                 | 219         |
|    n_updates            | 10610       |
|    policy_gradient_loss | -0.00322    |
|    value_loss           | 471         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.7        |
|    ep_rew_mean          | 64.8        |
| time/                   |             |
|    fps                  | 509         |
|    iterations           | 13          |
|    time_elapsed         | 52          |
|    total_timesteps      | 2177024     |
| train/                  |             |
|    approx_kl            | 0.022709927 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.471       |
|    learning_rate        | 0.0003      |
|    loss                 | 338         |
|    n_updates            | 10620       |
|    policy_gradient_loss | -0.00172    |
|    value_loss           | 512         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.8        |
|    ep_rew_mean          | 56.3        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 14          |
|    time_elapsed         | 56          |
|    total_timesteps      | 2179072     |
| train/                  |             |
|    approx_kl            | 0.024918033 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.968      |
|    explained_variance   | 0.253       |
|    learning_rate        | 0.0003      |
|    loss                 | 201         |
|    n_updates            | 10630       |
|    policy_gradient_loss | -0.00398    |
|    value_loss           | 402         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.3        |
|    ep_rew_mean          | 49.4        |
| time/                   |             |
|    fps                  | 506         |
|    iterations           | 15          |
|    time_elapsed         | 60          |
|    total_timesteps      | 2181120     |
| train/                  |             |
|    approx_kl            | 0.016081756 |
|    clip_fraction        | 0.0986      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.429       |
|    learning_rate        | 0.0003      |
|    loss                 | 380         |
|    n_updates            | 10640       |
|    policy_gradient_loss | -0.00266    |
|    value_loss           | 600         |
-----------------------------------------
♻️  Updating opponent model with latest weights
👁️  Visualizing test match
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.8).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.6400000000000001).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Ball passed the net, reward applied (+14).
Ball passed the net with power hit, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.8).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Ball passed the net, reward applied (+14).
Ball passed the net with power hit, reward applied (+1).
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 70

🎯 Start training block 71
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 60.3     |
|    ep_rew_mean     | 38.8     |
| time/              |          |
|    fps             | 605      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 2183168  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.5        |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 541         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 2185216     |
| train/                  |             |
|    approx_kl            | 0.021382563 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.53        |
|    learning_rate        | 0.0003      |
|    loss                 | 167         |
|    n_updates            | 10660       |
|    policy_gradient_loss | -0.0037     |
|    value_loss           | 683         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.3        |
|    ep_rew_mean          | 32.6        |
| time/                   |             |
|    fps                  | 529         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 2187264     |
| train/                  |             |
|    approx_kl            | 0.032996185 |
|    clip_fraction        | 0.0834      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.581       |
|    learning_rate        | 0.0003      |
|    loss                 | 244         |
|    n_updates            | 10670       |
|    policy_gradient_loss | 0.00219     |
|    value_loss           | 827         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.4        |
|    ep_rew_mean          | 27.3        |
| time/                   |             |
|    fps                  | 525         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 2189312     |
| train/                  |             |
|    approx_kl            | 0.025958993 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.499       |
|    learning_rate        | 0.0003      |
|    loss                 | 232         |
|    n_updates            | 10680       |
|    policy_gradient_loss | -0.00471    |
|    value_loss           | 593         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.8       |
|    ep_rew_mean          | 16.2       |
| time/                   |            |
|    fps                  | 523        |
|    iterations           | 5          |
|    time_elapsed         | 19         |
|    total_timesteps      | 2191360    |
| train/                  |            |
|    approx_kl            | 0.03220103 |
|    clip_fraction        | 0.105      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.984     |
|    explained_variance   | 0.303      |
|    learning_rate        | 0.0003     |
|    loss                 | 176        |
|    n_updates            | 10690      |
|    policy_gradient_loss | -0.00294   |
|    value_loss           | 629        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.2        |
|    ep_rew_mean          | 32.4        |
| time/                   |             |
|    fps                  | 521         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 2193408     |
| train/                  |             |
|    approx_kl            | 0.018232724 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.989      |
|    explained_variance   | 0.38        |
|    learning_rate        | 0.0003      |
|    loss                 | 244         |
|    n_updates            | 10700       |
|    policy_gradient_loss | -0.00462    |
|    value_loss           | 691         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.8        |
|    ep_rew_mean          | 18          |
| time/                   |             |
|    fps                  | 515         |
|    iterations           | 7           |
|    time_elapsed         | 27          |
|    total_timesteps      | 2195456     |
| train/                  |             |
|    approx_kl            | 0.022788761 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.981      |
|    explained_variance   | 0.382       |
|    learning_rate        | 0.0003      |
|    loss                 | 199         |
|    n_updates            | 10710       |
|    policy_gradient_loss | -0.00291    |
|    value_loss           | 541         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.3        |
|    ep_rew_mean          | 25.4        |
| time/                   |             |
|    fps                  | 514         |
|    iterations           | 8           |
|    time_elapsed         | 31          |
|    total_timesteps      | 2197504     |
| train/                  |             |
|    approx_kl            | 0.024591118 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.963      |
|    explained_variance   | 0.506       |
|    learning_rate        | 0.0003      |
|    loss                 | 248         |
|    n_updates            | 10720       |
|    policy_gradient_loss | 0.00268     |
|    value_loss           | 675         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.5        |
|    ep_rew_mean          | 26.8        |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 9           |
|    time_elapsed         | 36          |
|    total_timesteps      | 2199552     |
| train/                  |             |
|    approx_kl            | 0.025012445 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.968      |
|    explained_variance   | 0.6         |
|    learning_rate        | 0.0003      |
|    loss                 | 173         |
|    n_updates            | 10730       |
|    policy_gradient_loss | 0.000128    |
|    value_loss           | 522         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.7        |
|    ep_rew_mean          | 25.2        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 10          |
|    time_elapsed         | 40          |
|    total_timesteps      | 2201600     |
| train/                  |             |
|    approx_kl            | 0.017189723 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.964      |
|    explained_variance   | 0.401       |
|    learning_rate        | 0.0003      |
|    loss                 | 251         |
|    n_updates            | 10740       |
|    policy_gradient_loss | -0.00261    |
|    value_loss           | 529         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.4        |
|    ep_rew_mean          | 28.3        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 11          |
|    time_elapsed         | 44          |
|    total_timesteps      | 2203648     |
| train/                  |             |
|    approx_kl            | 0.016559802 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.949      |
|    explained_variance   | 0.534       |
|    learning_rate        | 0.0003      |
|    loss                 | 206         |
|    n_updates            | 10750       |
|    policy_gradient_loss | -0.00206    |
|    value_loss           | 615         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.3        |
|    ep_rew_mean          | 33.9        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 12          |
|    time_elapsed         | 48          |
|    total_timesteps      | 2205696     |
| train/                  |             |
|    approx_kl            | 0.015022548 |
|    clip_fraction        | 0.0711      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.952      |
|    explained_variance   | 0.52        |
|    learning_rate        | 0.0003      |
|    loss                 | 366         |
|    n_updates            | 10760       |
|    policy_gradient_loss | -0.000975   |
|    value_loss           | 639         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 67.6       |
|    ep_rew_mean          | 32.5       |
| time/                   |            |
|    fps                  | 508        |
|    iterations           | 13         |
|    time_elapsed         | 52         |
|    total_timesteps      | 2207744    |
| train/                  |            |
|    approx_kl            | 0.04602036 |
|    clip_fraction        | 0.167      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.963     |
|    explained_variance   | 0.555      |
|    learning_rate        | 0.0003     |
|    loss                 | 247        |
|    n_updates            | 10770      |
|    policy_gradient_loss | 0.00127    |
|    value_loss           | 528        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.5        |
|    ep_rew_mean          | 37.3        |
| time/                   |             |
|    fps                  | 506         |
|    iterations           | 14          |
|    time_elapsed         | 56          |
|    total_timesteps      | 2209792     |
| train/                  |             |
|    approx_kl            | 0.039517783 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.969      |
|    explained_variance   | 0.401       |
|    learning_rate        | 0.0003      |
|    loss                 | 317         |
|    n_updates            | 10780       |
|    policy_gradient_loss | 0.0011      |
|    value_loss           | 743         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.6        |
|    ep_rew_mean          | 37.7        |
| time/                   |             |
|    fps                  | 506         |
|    iterations           | 15          |
|    time_elapsed         | 60          |
|    total_timesteps      | 2211840     |
| train/                  |             |
|    approx_kl            | 0.019169645 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.957      |
|    explained_variance   | 0.409       |
|    learning_rate        | 0.0003      |
|    loss                 | 275         |
|    n_updates            | 10790       |
|    policy_gradient_loss | 0.00102     |
|    value_loss           | 582         |
-----------------------------------------
👁️  Visualizing test match
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.8).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Ball passed the net, reward applied (+14).
Ball passed the net with power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Ball touching ground on ai's side, penalty applied (-70).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 71

🎯 Start training block 72
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 69       |
|    ep_rew_mean     | 35       |
| time/              |          |
|    fps             | 601      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 2213888  |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.1       |
|    ep_rew_mean          | 36.6       |
| time/                   |            |
|    fps                  | 542        |
|    iterations           | 2          |
|    time_elapsed         | 7          |
|    total_timesteps      | 2215936    |
| train/                  |            |
|    approx_kl            | 0.03208954 |
|    clip_fraction        | 0.146      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.946     |
|    explained_variance   | 0.558      |
|    learning_rate        | 0.0003     |
|    loss                 | 214        |
|    n_updates            | 10810      |
|    policy_gradient_loss | -0.00271   |
|    value_loss           | 491        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.7        |
|    ep_rew_mean          | 27.2        |
| time/                   |             |
|    fps                  | 530         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 2217984     |
| train/                  |             |
|    approx_kl            | 0.029802002 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.935      |
|    explained_variance   | 0.474       |
|    learning_rate        | 0.0003      |
|    loss                 | 209         |
|    n_updates            | 10820       |
|    policy_gradient_loss | -0.00029    |
|    value_loss           | 497         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.5        |
|    ep_rew_mean          | 22.4        |
| time/                   |             |
|    fps                  | 525         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 2220032     |
| train/                  |             |
|    approx_kl            | 0.021756098 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.923      |
|    explained_variance   | 0.61        |
|    learning_rate        | 0.0003      |
|    loss                 | 194         |
|    n_updates            | 10830       |
|    policy_gradient_loss | -0.00471    |
|    value_loss           | 532         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.8        |
|    ep_rew_mean          | 18.1        |
| time/                   |             |
|    fps                  | 522         |
|    iterations           | 5           |
|    time_elapsed         | 19          |
|    total_timesteps      | 2222080     |
| train/                  |             |
|    approx_kl            | 0.020986095 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.921      |
|    explained_variance   | 0.498       |
|    learning_rate        | 0.0003      |
|    loss                 | 294         |
|    n_updates            | 10840       |
|    policy_gradient_loss | -0.00264    |
|    value_loss           | 602         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.4        |
|    ep_rew_mean          | 18.9        |
| time/                   |             |
|    fps                  | 520         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 2224128     |
| train/                  |             |
|    approx_kl            | 0.031829283 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.901      |
|    explained_variance   | 0.573       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 10850       |
|    policy_gradient_loss | -0.00358    |
|    value_loss           | 618         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 70.3       |
|    ep_rew_mean          | 21.9       |
| time/                   |            |
|    fps                  | 517        |
|    iterations           | 7          |
|    time_elapsed         | 27         |
|    total_timesteps      | 2226176    |
| train/                  |            |
|    approx_kl            | 0.02551847 |
|    clip_fraction        | 0.135      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.891     |
|    explained_variance   | 0.498      |
|    learning_rate        | 0.0003     |
|    loss                 | 328        |
|    n_updates            | 10860      |
|    policy_gradient_loss | 0.00628    |
|    value_loss           | 608        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.6       |
|    ep_rew_mean          | 20.9       |
| time/                   |            |
|    fps                  | 516        |
|    iterations           | 8          |
|    time_elapsed         | 31         |
|    total_timesteps      | 2228224    |
| train/                  |            |
|    approx_kl            | 0.02441876 |
|    clip_fraction        | 0.113      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.885     |
|    explained_variance   | 0.517      |
|    learning_rate        | 0.0003     |
|    loss                 | 228        |
|    n_updates            | 10870      |
|    policy_gradient_loss | -0.00419   |
|    value_loss           | 565        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.6       |
|    ep_rew_mean          | 26.3       |
| time/                   |            |
|    fps                  | 514        |
|    iterations           | 9          |
|    time_elapsed         | 35         |
|    total_timesteps      | 2230272    |
| train/                  |            |
|    approx_kl            | 0.02428354 |
|    clip_fraction        | 0.0958     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.901     |
|    explained_variance   | 0.601      |
|    learning_rate        | 0.0003     |
|    loss                 | 247        |
|    n_updates            | 10880      |
|    policy_gradient_loss | -0.00675   |
|    value_loss           | 546        |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 66.7      |
|    ep_rew_mean          | 26.2      |
| time/                   |           |
|    fps                  | 514       |
|    iterations           | 10        |
|    time_elapsed         | 39        |
|    total_timesteps      | 2232320   |
| train/                  |           |
|    approx_kl            | 0.0120016 |
|    clip_fraction        | 0.0887    |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.898    |
|    explained_variance   | 0.551     |
|    learning_rate        | 0.0003    |
|    loss                 | 188       |
|    n_updates            | 10890     |
|    policy_gradient_loss | -0.00305  |
|    value_loss           | 613       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.6        |
|    ep_rew_mean          | 25.5        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 11          |
|    time_elapsed         | 43          |
|    total_timesteps      | 2234368     |
| train/                  |             |
|    approx_kl            | 0.024404865 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.893      |
|    explained_variance   | 0.552       |
|    learning_rate        | 0.0003      |
|    loss                 | 211         |
|    n_updates            | 10900       |
|    policy_gradient_loss | -0.00055    |
|    value_loss           | 570         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.2        |
|    ep_rew_mean          | 27.1        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 12          |
|    time_elapsed         | 47          |
|    total_timesteps      | 2236416     |
| train/                  |             |
|    approx_kl            | 0.020069743 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.894      |
|    explained_variance   | 0.628       |
|    learning_rate        | 0.0003      |
|    loss                 | 157         |
|    n_updates            | 10910       |
|    policy_gradient_loss | 0.00295     |
|    value_loss           | 531         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.3        |
|    ep_rew_mean          | 19.4        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 13          |
|    time_elapsed         | 51          |
|    total_timesteps      | 2238464     |
| train/                  |             |
|    approx_kl            | 0.028912358 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.892      |
|    explained_variance   | 0.503       |
|    learning_rate        | 0.0003      |
|    loss                 | 204         |
|    n_updates            | 10920       |
|    policy_gradient_loss | 0.00232     |
|    value_loss           | 500         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.8        |
|    ep_rew_mean          | 31.4        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 14          |
|    time_elapsed         | 55          |
|    total_timesteps      | 2240512     |
| train/                  |             |
|    approx_kl            | 0.013514496 |
|    clip_fraction        | 0.0849      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.907      |
|    explained_variance   | 0.549       |
|    learning_rate        | 0.0003      |
|    loss                 | 178         |
|    n_updates            | 10930       |
|    policy_gradient_loss | -0.00226    |
|    value_loss           | 611         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 69         |
|    ep_rew_mean          | 21.9       |
| time/                   |            |
|    fps                  | 513        |
|    iterations           | 15         |
|    time_elapsed         | 59         |
|    total_timesteps      | 2242560    |
| train/                  |            |
|    approx_kl            | 0.03570499 |
|    clip_fraction        | 0.126      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.917     |
|    explained_variance   | 0.328      |
|    learning_rate        | 0.0003     |
|    loss                 | 261        |
|    n_updates            | 10940      |
|    policy_gradient_loss | -0.0037    |
|    value_loss           | 549        |
----------------------------------------
👁️  Visualizing test match
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Power hit, penalty applied (-0.2).
Player is diving towards the ball, reward applied (+2).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Ball passed the net, reward applied (+14).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player hit the ball, reward applied (+5x1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Ball passed the net, reward applied (+14).
Power hit, penalty applied (-0.2).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.8).
Player power hit, reward applied (+1).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Ball passed the net, reward applied (+14).
Ball passed the net with power hit, reward applied (+1).
